,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
C36:1 DAG,,-1,,,-1,-1,,-1,,,,1,,,-1,,1,,,,,,,,,,,,,,,,,,,,-1,,,,,
C14:0 CE,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16:1 CE,,,,,,1,,1,,-1,-1,-1,,,,,,,,,,-1,,,,,1,1,1,1,,1,,,,,1,,,,1,
C16:0 CE,,1,,-1,,1,,1,,-1,-1,-1,-1,,1,,-1,,,,,-1,,,,,1,1,1,1,,1,,,,,1,,,-1,1,
C18:3 CE,,,,-1,,1,,1,,-1,-1,-1,-1,,1,,-1,,,,,,,1,,,1,1,1,,,,,,,,1,,,,,
C18:2 CE,1,1,,,,1,,1,,-1,-1,-1,-1,,1,,-1,,,,,-1,,,,,1,1,1,1,,,,,,,1,,,-1,,
C18:1 CE,,1,,,,1,,1,,-1,-1,-1,-1,,,,-1,,,,,-1,,,,,1,1,1,1,,1,,,,,,,,-1,1,1
C18:0 CE,,,-1,,,,,1,,,,-1,-1,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
C20:5 CE,,,,-1,1,1,,1,,-1,-1,-1,-1,,1,,-1,,,,,-1,,1,,,1,1,1,1,,,,,,,1,,,,,
C20:4 CE,,1,,-1,1,1,,1,,-1,-1,-1,-1,,1,,-1,,,,,-1,,1,,,1,1,1,1,,1,,,,,1,,,-1,,
C20:3 CE,,,,-1,,,1,1,,-1,-1,-1,,,1,,-1,,,,,,,1,,,1,,1,1,,,,,,,1,,,,,
C22:6 CE,,,,,1,1,,1,,-1,-1,-1,-1,,1,,-1,,,1,,,,1,,,1,1,,,,,,,,,1,,,,,1
C46:2 TAG,,,,,-1,-1,,-1,,,,1,1,,-1,,,,,-1,,,,-1,,,-1,,,,,,,,,,,,,,,
C46:1 TAG,,,,,-1,-1,-1,-1,,1,1,1,1,,-1,,1,,,-1,,,,-1,,,-1,,,,,,,,,,-1,,,,,
C46:0 TAG,,,,,,-1,,-1,,,,,,,,,,,,-1,,,,-1,,-1,-1,,,,,,,,,,,,,,,
C48:3 TAG,-1,,,,-1,,,-1,,,,,,,-1,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,
C48:2 TAG,,,,,-1,,,-1,,1,1,1,1,,-1,,1,1,,-1,,,,-1,,,,,,,,,,,,,-1,,,,,
C48:1 TAG,,,,,,-1,-1,-1,,1,1,,,,-1,,1,,,-1,-1,,,-1,,,,,,,,,,,,,-1,,,,,
C48:0 TAG,,,,,,-1,,-1,,,,,,,,,,,,-1,-1,,,-1,,-1,,,,,,,,,,,,,,,,
C50:3 TAG,,,,,-1,,,-1,,,,,,,-1,,1,,,-1,,,,-1,,,-1,,,,,,,,,,,,,,,
C50:2 TAG,,,,,-1,-1,-1,-1,,,1,,,,-1,,1,,,-1,,,,-1,,,,,,,,,,,,,-1,,,,,
C50:1 TAG,,,,,,-1,-1,-1,,,1,,,,-1,,,,,-1,-1,,,-1,,,,,,,,,,,,,-1,,,,,
C50:0 TAG,,,,,,-1,,-1,,,,,,,,,,,,-1,-1,,,,-1,-1,,,,,,,,,,,-1,,,,,
C52:5 TAG,-1,-1,,,-1,,,-1,-1,,,,,-1,-1,-1,,,,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,
C52:4 TAG,-1,-1,,,-1,,,-1,,,,,,,-1,-1,,,,,,1,,,,-1,-1,,-1,,,,,,,,,,,,,
C52:3 TAG,,,,,-1,-1,-1,-1,,,,,,,-1,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,
C52:2 TAG,,,,,,-1,-1,-1,,,,,,,-1,,,,,-1,,,,-1,,,-1,,,,,,,,,,-1,,,,,
C52:1 TAG,-1,-1,,,,,,-1,,,,,,,-1,-1,,,,-1,-1,,,,-1,-1,,,,,,,,,,,-1,,1,,,
C54:7 TAG,,-1,,,,,,-1,-1,,,,,-1,,-1,,-1,,,,1,,,,-1,-1,,,-1,,,,,-1,,,,1,,,
C54:6 TAG,-1,-1,,,-1,,,-1,-1,,,,,-1,,-1,,,1,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,
C54:5 TAG,-1,-1,,,,,,-1,-1,,,,,-1,,-1,,-1,1,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,
C54:4 TAG,-1,-1,,,-1,,,-1,,,,,,,-1,-1,,,,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,
C54:3 TAG,-1,-1,,,-1,,,-1,,,,,,,-1,-1,,,,,,,,,,,-1,,-1,-1,,,,,,,,,,-1,,
C54:2 TAG,-1,-1,,,,,,-1,,,,,,,-1,-1,,,,,,,,,,,-1,,,,,,,,,,-1,,1,,,
C54:1 TAG,-1,-1,,,,-1,,-1,,,,,,-1,,-1,,-1,,,,,,,,-1,-1,,,,,,,,,,-1,,1,,,
C56:8 TAG,,-1,,,,,,-1,-1,,,,,-1,,-1,,-1,,,,1,,,,-1,-1,,-1,,,,,,-1,,,,,,,
C56:7 TAG,-1,-1,,,,,,-1,-1,,,,,-1,,-1,,-1,1,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,
C56:6 TAG,-1,-1,,,,,,-1,-1,,,,,-1,,-1,,-1,1,,,1,,,,-1,-1,,-1,-1,,,,,-1,,,,,,,
C56:5 TAG,-1,-1,,,,,,-1,-1,,,,,-1,-1,-1,,-1,,,,1,,,,-1,-1,,-1,-1,,-1,,,,,,,,,,
C56:4 TAG,-1,-1,,,-1,,,-1,-1,,,,,,-1,-1,,,,,,1,,,,-1,-1,,-1,-1,,-1,,,,,,,,,,
C56:3 TAG,-1,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,-1,-1,,,-1,,,,,,,,,,,,
C56:2 TAG,-1,-1,,,,,,-1,,,,,,,,-1,,,,,,,,,,-1,-1,,,-1,,,,,,,-1,,,,,
C58:8 TAG,-1,-1,,,,,,,-1,,,,,-1,,-1,,-1,1,1,,1,,,,-1,-1,,-1,-1,,,,,-1,,,,1,,,
C58:7 TAG,-1,-1,,,,,,,-1,,,,,-1,,-1,,-1,1,,,1,,,,-1,-1,,-1,-1,,,,,-1,,,,1,,,
C58:6 TAG,-1,-1,,,,,,-1,-1,,,,,-1,,-1,,-1,,,,1,,,,-1,-1,,-1,-1,,,,,-1,,,,,,,
