,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
UDP-galactose/UDP-glucose,,,1,,,,,,1,1,1,,,1,,,,1,-1,,,,,,,,,,,,,,,,,,-1,,,-1,,
Uracil,1,1,,,,1,,1,,,,,,,1,,,,,,-1,-1,,,,,1,,1,1,,1,,-1,,,,,,,,1
Urate,,1,,,1,1,,1,,,-1,-1,-1,,1,,-1,,,,,-1,,1,,,,1,,,,,,,,,,,,,,
Uridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthine,1,1,,-1,,1,,1,1,-1,-1,-1,,,1,,-1,,,,,-1,,,,,1,,1,1,,1,,,,,,,,,,1
Taurocholate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,
Glycodeoxycholate/Glycochenodeoxycholate,,,,,,,,1,,,-1,,,,1,,-1,,,,,-1,,,,,1,,1,,,,,,,,1,,1,,,1
Taurodeoxycholate/Taurochenodeoxycholate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphocreatine,1,1,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,1,1,,,,,,,,,-1,,,
3-methyladipate/Pimelate,,,,,,,,-1,-1,1,,,,,,,,,1,,,,,,,-1,,,-1,-1,,,,,,,,,,,,
6-phosphogluconate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-hydroxybutyrate,-1,-1,,,,-1,,-1,-1,1,,,,,,,,,1,,,,,,,-1,-1,,-1,-1,,,,,,,,,,,,-1
2-hydroxyglutarate,,,1,1,-1,,,,,,,,,1,-1,,,,-1,,,,,,,,,,,,,,,1,,,-1,-1,,,,
Inositol,-1,-1,-1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,,,,1,,,,,,
Malondialdehyde,,,,,,-1,-1,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,1,1,,,-1,,,,
Glycine,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
Alanine,1,,,-1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serine,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Threonine,1,1,,,,,,1,1,,,,,1,1,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,
Methionine,1,1,,,,1,,1,1,-1,-1,,,,1,,-1,,,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
Aspartate,,,,,,,,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,
Glutamate,,,,,,,,,,,,1,-1,,,,,,,,1,1,1,,,,,,,,,-1,,,,,,,,,,
Asparagine,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
Glutamine,1,1,,,,,1,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,-1,1,,,,,
Histidine,1,1,,,1,1,1,1,1,-1,-1,,,,1,,-1,,,,,-1,,,,1,1,,1,1,,,-1,,,,,,,,,1
Arginine,,,,,,1,,1,,,-1,-1,-1,,1,,-1,,,,,,,,,,,,,,,,,,,,1,,,,,
Lysine,1,1,,-1,,1,1,1,1,-1,-1,,,,1,,-1,,,,,-1,,,,1,1,,1,1,,,,,,-1,1,,,,1,1
Valine,1,1,,-1,1,,1,1,1,,,,,,1,,,,,,,-1,,,1,1,1,,1,1,,,,,,,1,,,,1,1
Leucine,1,1,,,1,1,1,1,1,-1,,,,,1,,-1,,,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
Isoleucine,1,1,,,,,,1,1,,,,,,,,-1,,,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
Phenylalanine,1,1,,-1,1,1,,1,1,,,,,,1,,,,-1,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
Tyrosine,1,1,,,1,1,,1,1,,,,,,1,,,,,,,-1,,,,1,1,,1,1,,,,,,,,,,,,1
Tryptophan,1,1,,,1,1,,1,1,,,,,,1,,,,-1,,,-1,,,,,1,,1,1,,,,,,-1,,,,,,
Proline,1,,,,,,-1,,,1,,,,,,1,,1,-1,,,,,,,,,,,,,,,,,,-1,,,,,
Cis/Trans-hydroxyproline,,-1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,-1,
Ornithine,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Citrulline,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
Taurine,,,,1,,,,-1,,,1,1,,1,-1,1,,1,,,,,,,-1,,,,,-1,,,,,,,-1,,,,,
5-HIAA,,,,,,,,,-1,,,,,-1,,,,,1,,,,,,,,,,-1,,,,,,,,1,,,,,
Serotonin,,,,,,,,,,,,,,,,,,,1,,,,-1,,,,,,,,,1,,,,,,,,,,
GABA,,-1,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1
Acetylglycine,,-1,,,,-1,,-1,-1,1,,1,,,,,,,1,,,,,,,-1,-1,,-1,-1,,,1,,,,,,,,,
