,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
Arachidonyl carnitine,,0.0006,,,,0.0396,,0.0208,0.0076,,,,,,,,,,0.0176,,,0.0177,,,,0.0135,0.0095,,0.0379,0.0157,,,,,,,,,,,0.0063,
Sarcosine,,0.0194,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0345,,,,,,,,,,,
Beta-alanine,,0.0367,,,,,,,0.049,,,,,0.0212,,,,,0.0087,,,,,,,,,,,,,,,,,,0.0047,,,,,
Anserine,,,,,,,0.0108,0.0015,,0.0348,0.0287,,,,0.0266,,0.0052,,,,,0.0103,,,,,0.0481,0.0407,,,,,,,,,0.0017,,,,,
C14:0 LPC,,,,,0.0474,,,0.0337,0.0306,,,0.0122,,,,,0.0295,,,,,0.0086,,,,,,,,,,,,,,,,,,,,
C16:1 LPC,,,,,,,,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16:0 LPC,,,,,,,,,,,,,,,,,,,,,,,,,0.0479,,0.0309,,,,0.0005,0.0011,,,,,,,,,,
C18:2 LPC,,,,,,,,,0.0443,,,,,,,,,,0.0062,0.0248,0.0125,0.0312,,,,,,,,,,0.0148,0.027,,,,0.013,,,,,0.0181
C18:1 LPC,0.0194,0.0432,,,,0.0153,,0.0163,,,,,,,,,,,,,,,,,,,0.0065,,,,,0.0031,,,,,,,,,,
C18:0 LPC,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352,,,,0.0101,,,,,,,,,,,
C20:4 LPC,,,,,,0.0348,,,,,,,,,,,,,,,,,,,,,,0.0165,,,0.002,0.0025,,,,,,,,,,
C20:3 LPC,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022,,,,,0.0082,,,,,,,,,,,
C22:6 LPC,0.0241,,,,,0.0152,,0.0089,,,,,,,0.0115,,,,,,,,,,,,0.049,,,,,,,,,,0.0019,,,,,
C16:0 LPE,,0.0474,,,,,,0.0011,,0.0078,0.0016,0.0082,,,,,,,,,,,,,0.0311,0.0068,0.0347,,,,0.0136,,,,,,,,,,,
C18:1 LPE,,0.0423,,0.0115,,,0.0267,0.0001,,0.0011,0.0045,,,,,,,,,,,,,,0.0458,0.026,,,,,,,,,,,,,,,,
C18:0 LPE,,0.0014,,,,,,0.0009,,0.0004,0.0006,0.0444,,,,,0.0004,,,,,,,,,,,,,,0.0154,,,,,,,,,,,
C20:4 LPE,,0.0001,,,,,0.0329,0.0468,0.0237,,,,,,,,,,0.0087,,,,0.0386,,,,,,,,,,,,0.0265,,,,,,,
C22:6 LPE,,,,,,,,,0.0113,,,,,,,0.0424,,,,,,0.0102,,,,0.0412,,,,,,,,,,,,,,,0.0474,
C32:2 PC,,0.0015,0.0299,,,,0.0073,,0.0051,0.0034,0.0003,0.0038,0.0115,0.0,0.0195,0.0002,0.0062,0.0,0.0069,,,,,,,0.0413,,,,,,,,,,,,,,,,
C32:1 PC,,,0.0058,,0.0375,,0.0122,0.0002,,0.0,0.0,0.0,0.0016,0.0002,0.0079,0.002,0.0007,0.0001,,,,,,0.0281,,,,,,,,,,,,,,,,,,0.0407
C32:0 PC,0.0092,0.0039,,,,0.0003,0.0014,0.0017,,0.0369,,,,0.0299,0.0004,,,,,,,,,,,0.0335,0.0017,,,,,,,,,,,,,,,0.0002
C34:4 PC,,,,,,,,,,,0.0066,0.0028,0.0027,,,0.0049,0.0076,0.0005,,,,0.0238,,,,,,,,,,,,,,,,,,,,
C34:3 PC,,,,,,,,,,,,,,,,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,
C34:2 PC,,,0.0305,,,,0.0052,0.0066,,0.0026,0.0016,,,0.001,0.0437,0.0017,0.0224,0.0028,,,,,,,,,,,,,,,,,,,,,,,,
C34:1 PC,,,0.0058,,,,,0.0047,,0.0009,0.0008,0.0102,0.0447,,,,0.0046,0.0082,,,,,,,,,,,,,,,,,,,,,,,,0.0217
C36:4 PC-A,,0.0144,,,,,,,0.0016,0.0352,,,,,,,,,,0.0239,,0.0067,,,,0.0045,0.0054,,,0.003,,,,,,,,,,,,
C36:4 PC-B,0.0394,,,,,,,,0.0008,,,,,0.0401,,,,,,,,0.0253,,,,0.0013,0.0028,,0.0413,0.0049,0.0344,,,,,,,,,,,
C36:3 PC,0.0448,0.0342,,,,,,,,,,,,,,,,,0.0017,,,,,0.0369,,,,,,0.0086,,,,,,,,,,,,
C36:2 PC,,,,,,,0.0327,0.0238,,0.0268,0.0418,,,,,,,,,,,,,,,,,,,0.0301,,,,,,,,,,,,
C36:1 PC,,0.0262,,,,,,0.028,,,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C38:6 PC,0.0461,0.0311,,,,,,,0.0009,,,,,0.0133,,,,,0.0325,,,,,,,0.0171,,,0.0165,0.0074,0.0227,,,,0.046,,,,,,,
C38:5 PC,0.0058,0.0062,,,,,,,0.0003,,,,,0.004,,,,,0.018,,,0.0057,,,,0.0129,0.0226,,0.0351,0.0129,,,,,,,,,,,,0.0252
C38:4 PC,0.0014,0.005,,,,,,0.0253,0.0035,,,,,,,,,,0.0019,,,0.0009,,,,0.0082,0.0036,,0.0101,0.0084,,,,,,,,,,,,0.0452
C38:2 PC,,,,,,,,,,,,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,
C40:6 PC,,0.0043,,0.0396,,,,,0.0014,,,,,0.0255,,,,,,,0.0492,0.0006,,,,,0.0246,,0.0229,,,0.0092,,,,,0.0133,,,,,
C14:0 SM,,,,,,,,,0.0468,,,,,0.0245,,0.0157,,,,,,,0.0007,,,,,,,,,,,,,,,,,,,
C16:1 SM,,,,,,,,,0.0053,,,,,0.003,,0.0007,,0.0127,0.0498,,,,,,,,,,,,,,,,,,,,,,,
C16:0 SM,,,,,,,,0.0237,,,,,,,,,,,,,,,,,,,,,,,,0.0123,,,,,,,,,,
C18:2 SM,,0.0009,,,,,,0.0002,,,,,,,,,,,,,,,,,,,0.0066,,0.019,,,,,,,,,,,,,
C18:1 SM,,,,0.043,,,,,,,,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0049
C18:0 SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074,,
C22:1 SM,,,0.0124,,,,,,,,,,,,,,,,,,,0.0021,,,,,0.0093,,,0.0022,,,,,,,,,,,,
C22:0 SM,,,0.043,,,,,0.0462,,0.033,0.0447,,,,,,,,,,0.0458,0.0306,,,,,,,,,,,,,,,,,,,,
C24:1 SM,,,,,,,,,,,,0.0411,,,,,,,,0.0379,,0.0255,0.0005,0.0283,,,,,,,,,,,,0.009,,,,,,
C24:0 SM,,,,,,,,,,,,,,,,,,,,,,,0.0007,,,0.0479,,,,,,0.0155,,,,0.0177,,,,,,
C34:2 DAG,,0.0148,0.007,,0.0081,0.0169,,0.0047,0.0118,,,0.0208,,,0.0267,,,,,0.0318,,,,,,,,,,,,,,,,,0.033,,,,,
C34:1 DAG,,0.0017,,,,0.0004,0.0097,0.0005,,0.0393,0.0424,,,,0.0042,,,0.0246,,,,,,,,,,,,,,,,,,,0.0,,,,,
C36:2 DAG,0.0396,0.0009,,,0.0427,0.0095,,0.0004,,,,,,,0.0126,,,,,,,0.002,,,,,,,0.046,,,,,,,,0.0002,,,,,
C36:1 DAG,,0.0001,,,0.0345,0.001,,0.0006,,,,0.0106,,,0.0433,,0.0468,,,,,,,,,,,,,,,,,,,,0.0004,,,,,
C14:0 CE,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16:1 CE,,,,,,0.0306,,0.0,,0.0035,0.0199,0.0019,,,,,,,,,,0.0138,,,,,0.0009,0.0107,0.0014,0.0107,,0.0236,,,,,0.032,,,,0.0374,
C16:0 CE,,0.0205,,0.0409,,0.0086,,0.0,,0.0076,0.0122,0.0008,0.0422,,0.0218,,0.0238,,,,,0.0086,,,,,0.0072,0.0133,0.0007,0.0102,,0.0173,,,,,0.0227,,,0.0352,0.0355,
C18:3 CE,,,,0.0159,,0.0377,,0.0,,0.0036,0.0112,0.0064,0.0366,,0.0426,,0.0304,,,,,,,0.0479,,,0.0097,0.0208,0.01,,,,,,,,0.0012,,,,,
C18:2 CE,0.0464,0.0152,,,,0.003,,0.0,,0.0043,0.0103,0.0029,0.0401,,0.0073,,0.0077,,,,,0.0079,,,,,0.0009,0.0142,0.0013,0.008,,,,,,,0.0017,,,0.0183,,
C18:1 CE,,0.0186,,,,0.0072,,0.0,,0.0048,0.0076,0.0003,0.0175,,,,0.0128,,,,,0.0168,,,,,0.0003,0.0428,0.0078,0.011,,0.0147,,,,,,,,0.0239,0.0072,0.0137
C18:0 CE,,,0.0448,,,,,0.0433,,,,0.0079,0.0247,,,,,,,,,,,,,,0.0472,0.0408,0.0074,0.0384,,,,,,,,,,,,
C20:5 CE,,,,0.0388,0.0325,0.0105,,0.0,,0.001,0.0001,0.0,0.0041,,0.008,,0.0008,,,,,0.0078,,0.0066,,,0.0036,0.0067,0.0046,0.0496,,,,,,,0.0011,,,,,
C20:4 CE,,0.0228,,0.0304,0.0165,0.0014,,0.0,,0.0098,0.0086,0.0015,0.0143,,0.004,,0.0074,,,,,0.0009,,0.0314,,,0.0004,0.01,0.0015,0.0122,,0.025,,,,,0.0012,,,0.0101,,
C20:3 CE,,,,0.0013,,,0.0376,0.0,,0.0001,0.0003,0.0004,,,0.0115,,0.0022,,,,,,,0.049,,,0.0035,,0.0172,0.0158,,,,,,,0.0138,,,,,
C22:6 CE,,,,,0.005,0.0183,,0.0,,0.0194,0.0005,0.0,0.0008,,0.0087,,0.0129,,,0.0181,,,,0.0001,,,0.0034,0.0005,,,,,,,,,0.0196,,,,,0.0292
C46:2 TAG,,,,,0.0006,0.0378,,0.0,,,,0.0118,0.0162,,0.0019,,,,,0.0001,,,,0.0007,,,0.0087,,,,,,,,,,,,,,,
C46:1 TAG,,,,,0.0396,0.0264,0.0215,0.0,,0.0352,0.003,0.0223,0.046,,0.0011,,0.0285,,,0.001,,,,0.001,,,0.0179,,,,,,,,,,0.018,,,,,
C46:0 TAG,,,,,,0.0193,,0.0002,,,,,,,,,,,,0.0207,,,,0.0095,,0.0265,0.0065,,,,,,,,,,,,,,,
C48:3 TAG,0.0486,,,,0.0043,,,0.0005,,,,,,,0.0007,,,,,0.0007,,,,0.0045,,,,,,,,,,,,,,,,,,
C48:2 TAG,,,,,0.012,,,0.0,,0.0426,0.0021,0.0066,0.0321,,0.0009,,0.0053,0.0361,,0.0014,,,,0.0063,,,,,,,,,,,,,0.0395,,,,,
C48:1 TAG,,,,,,0.0146,0.0111,0.0001,,0.0187,0.0052,,,,0.0028,,0.025,,,0.0024,0.0477,,,0.0136,,,,,,,,,,,,,0.0045,,,,,
C48:0 TAG,,,,,,0.0367,,0.0084,,,,,,,,,,,,0.006,0.0489,,,0.0117,,0.0463,,,,,,,,,,,,,,,,
C50:3 TAG,,,,,0.0097,,,0.0,,,,,,,0.0005,,0.0244,,,0.0116,,,,0.017,,,0.0249,,,,,,,,,,,,,,,
C50:2 TAG,,,,,0.0353,0.016,0.0105,0.0,,,0.0136,,,,0.0005,,0.0413,,,0.0019,,,,0.0126,,,,,,,,,,,,,0.0041,,,,,
C50:1 TAG,,,,,,0.0151,0.0107,0.0011,,,0.0454,,,,0.0065,,,,,0.0077,0.0388,,,0.0185,,,,,,,,,,,,,0.0085,,,,,
C50:0 TAG,,,,,,0.0394,,0.0119,,,,,,,,,,,,0.0136,0.0308,,,,0.0445,0.0234,,,,,,,,,,,0.0125,,,,,
C52:5 TAG,0.0054,0.0076,,,0.0121,,,0.0006,0.0042,,,,,0.0123,0.018,0.0096,,,,,,0.0012,,,,0.0043,0.0,,0.0105,0.0082,,,,,,,,,,,,
C52:4 TAG,0.005,0.0093,,,0.0122,,,0.0001,,,,,,,0.0019,0.0465,,,,,,0.0126,,,,0.0246,0.0009,,0.0489,,,,,,,,,,,,,
C52:3 TAG,,,,,0.0116,0.0397,0.0363,0.0003,,,,,,,0.0026,,,,,0.0343,,,,,,,0.0388,,,,,,,,,,,,,,,
C52:2 TAG,,,,,,0.0096,0.0056,0.0001,,,,,,,0.0011,,,,,0.018,,,,0.022,,,0.0252,,,,,,,,,,0.0089,,,,,
C52:1 TAG,0.0231,0.0181,,,,,,0.0018,,,,,,,0.0388,0.0421,,,,0.0266,0.0175,,,,0.0482,0.0085,,,,,,,,,,,0.0093,,0.0411,,,
C54:7 TAG,,0.0064,,,,,,0.0141,0.0014,,,,,0.0008,,0.0096,,0.0159,,,,0.0156,,,,0.0005,0.0011,,,0.0012,,,,,0.009,,,,0.0287,,,
C54:6 TAG,0.0145,0.001,,,0.0339,,,0.0016,0.0002,,,,,0.003,,0.007,,,0.0325,,,0.0072,,,,0.0003,0.0,,0.0068,0.0012,,,,,,,,,,,,
C54:5 TAG,0.0125,0.0068,,,,,,0.0071,0.032,,,,,0.0131,,0.0057,,0.0275,0.014,,,0.0021,,,,0.036,0.0001,,0.0092,0.0137,,,,,,,,,,,,
C54:4 TAG,0.0015,0.0027,,,0.0379,,,0.0001,,,,,,,0.0047,0.0113,,,,,,0.0092,,,,0.0367,0.0001,,0.0129,0.0098,,,,,,,,,,,,
C54:3 TAG,0.0267,0.025,,,0.0481,,,0.0017,,,,,,,0.0142,0.0476,,,,,,,,,,,0.0073,,0.0418,0.0352,,,,,,,,,,0.0411,,
C54:2 TAG,0.0159,0.0082,,,,,,0.0005,,,,,,,0.0283,0.0298,,,,,,,,,,,0.0094,,,,,,,,,,0.0416,,0.0341,,,
C54:1 TAG,0.0092,0.0004,,,,0.0402,,0.0119,,,,,,0.0442,,0.0016,,0.0346,,,,,,,,0.0255,0.016,,,,,,,,,,0.0153,,0.0177,,,
C56:8 TAG,,0.0009,,,,,,0.0025,0.0001,,,,,0.001,,0.0042,,0.012,,,,0.0306,,,,0.0025,0.0086,,0.0308,,,,,,0.0209,,,,,,,
C56:7 TAG,0.0051,0.0004,,,,,,0.0384,0.0004,,,,,0.0013,,0.0109,,0.0143,0.0289,,,0.0122,,,,0.0294,0.0004,,0.0055,0.0072,,,,,,,,,,,,
C56:6 TAG,0.0017,0.0004,,,,,,0.0064,0.0002,,,,,0.0003,,0.0012,,0.0024,0.0263,,,0.0016,,,,0.0011,0.0008,,0.0044,0.0147,,,,,0.0166,,,,,,,
C56:5 TAG,0.0014,0.0008,,,,,,0.0012,0.0004,,,,,0.0012,0.0343,0.0049,,0.0219,,,,0.0008,,,,0.0039,0.0002,,0.0007,0.0022,,0.0272,,,,,,,,,,
C56:4 TAG,0.0015,0.0027,,,0.0165,,,0.0001,0.0446,,,,,,0.0109,0.0205,,,,,,0.0013,,,,0.0116,0.0,,0.0015,0.0015,,0.0202,,,,,,,,,,
C56:3 TAG,0.0155,0.0056,,,0.0305,,,0.002,,,,,,,,,,,,,,,,,,0.0093,0.0005,,,0.0248,,,,,,,,,,,,
C56:2 TAG,0.0132,0.0008,,,,,,0.0015,,,,,,,,0.0164,,,,,,,,,,0.0109,0.0009,,,0.0156,,,,,,,0.0232,,,,,
C58:8 TAG,0.0494,0.001,,,,,,,0.0018,,,,,0.0004,,0.0137,,0.0082,0.0158,0.0493,,0.003,,,,0.0176,0.0022,,0.0124,0.0029,,,,,0.0473,,,,0.0385,,,
C58:7 TAG,0.017,0.0031,,,,,,,0.0026,,,,,0.0005,,0.0068,,0.0104,0.0215,,,0.008,,,,0.0264,0.0038,,0.0365,0.0161,,,,,0.0453,,,,0.0205,,,
C58:6 TAG,0.0085,0.0004,,,,,,0.0068,0.0003,,,,,0.0006,,0.0054,,0.0181,,,,0.0056,,,,0.0031,0.0005,,0.0125,0.0037,,,,,0.032,,,,,,,
