,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
NAD,0.0275,,0.0458,,,,0.0064,,0.0444,0.0101,0.0348,,,0.0008,,,,,0.0066,,,,,,,,,,,,,,,,,,0.0156,,,,,
NADP,,,,,,,,,,,,,,,,,,,0.0442,,,,,,,,0.0355,,,,,,,,,,,,,,,
Oxalate,,0.0067,,,0.0168,,,0.0014,0.0002,,,0.0147,,0.0454,,,,,0.0006,,0.0409,0.0009,,,,,0.0073,,0.0192,0.0342,,,,,,,,,,,,0.0189
Pantothenate,0.042,0.0,0.0002,0.0407,,,,,0.0034,0.0006,0.0002,0.0049,,0.0002,,,0.0,0.0001,,,,,,,,,,0.0003,,,0.0,0.0445,,,,,,,,,,0.0026
PEP,,,,,,0.0364,,,,,,,,,,0.0413,,,,,,,,,,,,,,,,,,0.0216,0.02,,,,,,,
Ribose-5-P/Ribulose5-P,0.0094,0.001,,,,,,0.0029,0.006,,,,,0.0097,,0.0419,,0.0261,,0.0233,,,0.0127,,,,0.0266,,,,,,0.027,0.0147,0.0011,0.0085,,,,,,
Sorbitol,,0.0099,,,0.0228,0.0031,0.0499,0.0,0.0185,0.0369,0.0045,0.0135,0.0398,,0.0033,,0.0287,,,,,0.0,,0.0384,,,0.0001,0.0081,0.0079,0.0152,,0.0331,,,,,,,,,,0.0449
Succinate/Methylmalonate,0.0436,0.0175,,,,,,,,,,,,,,,,,,,,0.0144,,,,,0.0283,,,,,,,,,,,,,0.0188,,
Sucrose,,0.0243,,,,0.0466,,0.0001,0.0418,,,,,,0.0004,,,,,,,,,0.0215,0.0192,0.0338,0.0018,0.0364,0.0031,,,,,,,,0.0059,0.0072,,,,
Thymine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0124,0.0068,,,,,,0.0339,,
UMP,,0.0156,,,,0.0023,0.0006,0.0,,0.0001,0.0002,0.0044,0.0214,,0.0004,,0.0001,,,,,0.0139,,0.0432,,,0.0052,,,,,,,,,,0.0,,,,,
UDP-galactose/UDP-glucose,,,0.0286,,,,,,0.0491,0.0332,0.0317,,,0.0029,,,,0.0365,0.0048,,,,,,,,,,,,,,,,,,0.0184,,,0.02,,
Uracil,0.0497,0.0168,,,,0.026,,0.0001,,,,,,,0.0041,,,,,,0.0449,0.0008,,,,,0.0033,,0.0046,0.0122,,0.0023,,0.0316,,,,,,,,0.0071
Urate,,0.05,,,0.0011,0.0396,,0.0,,,0.023,0.0011,0.008,,0.0164,,0.0477,,,,,0.0201,,0.0144,,,,0.0284,,,,,,,,,,,,,,
Uridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthine,0.0035,0.0007,,0.0358,,0.0008,,0.0,0.0348,0.004,0.01,0.031,,,0.0043,,0.0035,,,,,0.0,,,,,0.0002,,0.0003,0.0003,,0.0107,,,,,,,,,,0.0068
Taurocholate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0292,,,,,,,,,,,
Glycodeoxycholate/Glycochenodeoxycholate,,,,,,,,0.0039,,,0.0257,,,,0.0056,,0.0276,,,,,0.038,,,,,0.0153,,0.0137,,,,,,,,0.0037,,0.0329,,,0.023
Taurodeoxycholate/Taurochenodeoxycholate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphocreatine,0.0149,0.0003,,,,,,,,,,,,,,0.0373,,0.0088,,,,,,,0.0498,,,,0.017,0.0283,,,,,,,,,0.0062,,,
3-methyladipate/Pimelate,,,,,,,,0.0062,0.0159,0.0206,,,,,,,,,0.0042,,,,,,,0.0356,,,0.0343,0.0022,,,,,,,,,,,,
6-phosphogluconate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-hydroxybutyrate,0.0315,0.0001,,,,0.0058,,0.0013,0.0242,0.0288,,,,,,,,,0.0075,,,,,,,0.0065,0.0001,,0.0005,0.0221,,,,,,,,,,,,0.0075
2-hydroxyglutarate,,,0.0032,0.0008,0.0171,,,,,,,,,0.0482,0.0127,,,,0.0038,,,,,,,,,,,,,,,0.0448,,,0.0296,0.0474,,,,
Inositol,0.0422,0.0224,0.0148,,,,,,,,,,,,,0.0374,,,,,,,,,,,,,,,,0.0489,,,,0.041,,,,,,
Malondialdehyde,,,,,,0.0029,0.0311,,0.0413,,,,,,0.0343,,,,,,,,,,,,,,,,,,,0.0201,0.0003,,,0.0336,,,,
Glycine,0.0352,,,,,,,,,,,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,
Alanine,0.0164,,,0.0417,0.007,,,,0.0002,,,,,0.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serine,,,,,,0.0283,0.021,,,,,,,,0.0187,,,,,,,,,,,,,,,,,,,,,,0.0088,,,,,
Threonine,0.001,0.001,,,,,,0.0022,0.0131,,,,,0.0226,0.0141,,,,,,,,,,0.0411,0.012,0.0389,,0.0288,0.0082,,,,,,,,,,,,
Methionine,0.0079,0.0001,,,,0.0191,,0.0,0.003,0.0189,0.033,,,,0.002,,0.0152,,,,,0.0011,,,,0.032,0.0001,,0.0087,0.0011,,,,,,,,,,,,0.0069
Aspartate,,,,,,,,,,,,,,,,,,,0.018,,,,,,,0.0344,,,,,,,,,,,,,,,,
Glutamate,,,,,,,,,,,,0.0226,0.0388,,,,,,,,0.0058,0.0048,0.0043,,,,,,,,,0.0098,,,,,,,,,,
Asparagine,,,,,,,,,,,,,,0.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0244,
Glutamine,0.0117,0.012,,,,,0.0031,,,,,,,,0.0307,,,,,,,0.0295,,,,,,,,,,,,,,0.016,0.0089,,,,,
Histidine,0.0024,0.0007,,,0.0204,0.0011,0.025,0.0,0.0362,0.0074,0.0133,,,,0.0,,0.0474,,,,,0.0152,,,,0.0052,0.0008,,0.0058,0.0001,,,0.0475,,,,,,,,,0.0169
Arginine,,,,,,0.0025,,0.0112,,,0.021,0.0237,0.0185,,0.0161,,0.0127,,,,,,,,,,,,,,,,,,,,0.0078,,,,,
Lysine,0.019,0.0001,,0.0415,,0.0285,0.0152,0.0,0.0268,0.002,0.0091,,,,0.0002,,0.0323,,,,,0.0005,,,,0.0074,0.0003,,0.0029,0.0002,,,,,,0.0475,0.0104,,,,0.0102,0.0034
Valine,0.0055,0.0003,,0.0476,0.0313,,0.0415,0.0,0.0063,,,,,,0.001,,,,,,,0.0021,,,0.0368,0.0128,0.0011,,0.0021,0.0008,,,,,,,0.026,,,,0.0278,0.012
Leucine,0.0067,0.0001,,,0.0323,0.0122,0.048,0.0,0.0013,0.0242,,,,,0.0044,,0.0227,,,,,0.0003,,,,0.0148,0.0,,0.004,0.001,,,,,,,,,,,,0.0069
Isoleucine,0.0421,0.0014,,,,,,0.0003,0.001,,,,,,,,0.0273,,,,,0.0013,,,,0.0332,0.0001,,0.0153,0.0187,,,,,,,,,,,,0.0235
Phenylalanine,0.005,0.0001,,0.0429,0.0212,0.0322,,0.0,0.001,,,,,,0.0029,,,,0.0389,,,0.0007,,,,0.0051,0.0002,,0.0025,0.0004,,,,,,,,,,,,0.0161
Tyrosine,0.0112,0.0003,,,0.0286,0.0257,,0.0,0.0004,,,,,,0.0101,,,,,,,0.0027,,,,0.0016,0.0001,,0.0017,0.0008,,,,,,,,,,,,0.0086
Tryptophan,0.0035,0.0001,,,0.0193,0.0117,,0.0,0.0145,,,,,,0.001,,,,0.0247,,,0.0018,,,,,0.0004,,0.0082,0.0047,,,,,,0.0224,,,,,,
Proline,0.0238,,,,,,0.0205,,,0.044,,,,,,0.0258,,0.0104,0.0465,,,,,,,,,,,,,,,,,,0.0044,,,,,
