Reaction ID,Reaction Name,Metabolite,Metabolite ID,Metabolite Name,
EX_bilirub_e,Bilirubin exchange,bilirub_e,bilirub_e,Bilirubin cytosol,
EX_biocyt_e,Biocytin exchange,biocyt_e,biocyt_e,Biocyt c,
EX_btn_e,Biotin exchange,btn_e,btn_e,Biotin,
EX_but_e,Butyrate (n-C4:0) exchange,but_e,but_e,Butyrate (n-C4:0),
EX_bvite_e,Beta-tocopherol exchange,bvite_e,bvite_e,Beta-Tocopherol,
EX_bz_e,Benzoate exchange,bz_e,bz_e,Benzoate,
EX_ca2_e,Calcium exchange,ca2_e,ca2_e,Calcium,
EX_camp_e,CAMP exchange,camp_e,camp_e,CAMP C10H11N5O6P,
EX_caro_e,Beta-Carotene exchange,caro_e,caro_e,Beta-Carotene,
EX_carveol_e,(E)-carveol exchange,carveol_e,carveol_e,(-)-trans-carveol,
EX_cca_d3_e,Calcitroic acid (D3) exchange,cca_d3_e,cca_d3_e,Calcitroic acid (D3),
EX_cgly_e,Cys-Gly exchange,cgly_e,cgly_e,Cys Gly C5H10N2O3S,
EX_chol_e,Choline exchange,chol_e,chol_e,Choline C5H14NO,
EX_cholate_e,Cholate exchange,cholate_e,cholate_e,Cholate c,
EX_chsterol_e,Cholesterol exchange,chsterol_e,chsterol_e,Chsterol c,
EX_chtn_e,Chitin exchange,chtn_e,chtn_e,Chtn c,
EX_cit_e,Citrate exchange,cit_e,cit_e,Citrate,
EX_cl_e,Chloride exchange,cl_e,cl_e,Chloride,
EX_cmp_e,CMP exchange,cmp_e,cmp_e,CMP C9H12N3O8P,
EX_co2_e,CO2 exchange,co2_e,co2_e,CO2 CO2,
EX_co_e,EX co LPAREN e RPAREN ,co_e,co_e,Carbon monoxide,
EX_coumarin_e,Coumarin exchange,coumarin_e,coumarin_e,Coumarin, 2H-1-Benzopyran-2-one
EX_creat_e,Creatine exchange,creat_e,creat_e,Creatine cytosol,
EX_crmp_hs_e,Ceramide 1-phosphate exchange,crmp_hs_e,crmp_hs_e,Ceramide 1-phosphate,
EX_crn_e,L-Carnitine exchange,crn_e,crn_e,L-Carnitine,
EX_crvnc_e,NC22:6 exchange,crvnc_e,crvnc_e,"Cervonic acid, C22:6 n-3",
EX_csn_e,Cytosine exchange,csn_e,csn_e,Cytosine,
EX_cspg_a_e,Chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan exchange,cspg_a_e,cspg_a_e,Chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan,
EX_cspg_b_e,Chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan exchange,cspg_b_e,cspg_b_e,Chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan,
EX_cspg_c_e,Chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan exchange,cspg_c_e,cspg_c_e,Chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan,
EX_cspg_d_e,Chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan exchange,cspg_d_e,cspg_d_e,Chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan,
EX_cspg_e_e,"Chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan exchange",cspg_e_e,cspg_e_e,"Chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan",
EX_cyan_e,Hydrogen cyanide exchange,cyan_e,cyan_e,Hydrogen cyanide,
EX_cys__L_e,L-Cysteine exchange,cys__L_e,cys__L_e,L-Cysteine,
EX_cytd_e,Cytidine exchange,cytd_e,cytd_e,Cytidine,
EX_dad_2_e,Deoxyadenosine exchange,dad_2_e,dad_2_e,Deoxyadenosine,
EX_dad_5_e,5'-Deoxyadenosine exchange,dad_5_e,dad_5_e,5'-Deoxyadenosine,
EX_dag_hs_e,Diacylglycerol (homo sapiens) exchange,dag_hs_e,dag_hs_e,Diacylglycerol (homo sapiens),
EX_dcsptn1_e,"Docosa-4,7,10,13,16-pentaenoic acid (n-6) exchange",dcsptn1_e,dcsptn1_e,"Docosa-4,7,10,13,16-pentaenoic acid (n-6)",
EX_dcyt_e,Deoxycytidine exchange,dcyt_e,dcyt_e,Deoxycytidine,
EX_debrisoquine_e,EX debrisoquine e,debrisoquine_e,debrisoquine_e,Debrisoquine c,
EX_dgchol_e,Chenodeoxyglycocholate exchange,dgchol_e,dgchol_e,Chenodeoxyglycocholate,
